Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	13-4-22	40.09555745124817	48.679278568278356	-1.0	-1.0	-1.0	WB
2	13-4-22	40.12062859535217	38.93818060287605	-1.0	-1.0	-1.0	WB
3	13-4-22	40.150447607040405	33.459140368231274	-1.0	-1.0	-1.0	WB
4	13-4-22	40.18414115905762	29.6880923562596	-1.0	-1.0	-1.0	WB
5	13-4-22	40.21452021598816	32.981088753115834	-1.0	-1.0	-1.0	WB
6	13-4-22	40.24715828895569	30.572511516706513	-1.0	-1.0	-1.0	WB
7	13-4-22	40.28545427322388	26.16631938812432	-1.0	-1.0	-1.0	WB
8	13-4-22	40.32093572616577	28.413036262269763	-1.0	-1.0	-1.0	WB
9	13-4-22	40.35290265083313	31.05626596571767	-1.0	-1.0	-1.0	WB
10	13-4-22	40.380430936813354	36.14844436783591	-1.0	-1.0	-1.0	WB
11	13-4-22	40.41436290740967	29.485441124780316	-1.0	-1.0	-1.0	WB
12	13-4-22	40.44898533821106	28.891365593249528	-1.0	-1.0	-1.0	WB
13	13-4-22	40.47896909713745	33.28416458358132	-1.0	-1.0	-1.0	WB
14	13-4-22	40.51658296585083	26.596559311608676	-1.0	-1.0	-1.0	WB
15	13-4-22	40.55407905578613	26.718375355136256	-1.0	-1.0	-1.0	WB
16	13-4-22	40.585713386535645	31.680947489274278	-1.0	-1.0	-1.0	WB
17	13-4-22	40.62151265144348	28.142325163212313	-1.0	-1.0	-1.0	WB
18	13-4-22	40.64833402633667	36.70520696595782	-1.0	-1.0	-1.0	WB
19	13-4-22	40.68226599693298	29.52342204734386	-1.0	-1.0	-1.0	WB
20	13-4-22	40.71980571746826	26.61934681339883	-1.0	-1.0	-1.0	WB
21	13-4-22	40.74892973899841	34.42892673917505	-1.0	-1.0	-1.0	WB
22	13-4-22	40.78502416610718	27.64922180399085	-1.0	-1.0	-1.0	WB
23	13-4-22	40.819356203079224	29.132371122563796	-1.0	-1.0	-1.0	WB
24	13-4-22	40.84963846206665	33.02939670989944	-1.0	-1.0	-1.0	WB
25	13-4-22	40.881903648376465	31.00644627121651	-1.0	-1.0	-1.0	WB
26	13-4-23	40.919384479522705	26.667073573917246	-1.0	-1.0	-1.0	WB
27	13-4-23	40.95004653930664	32.59914660780488	-1.0	-1.0	-1.0	WB
28	13-4-23	40.98754334449768	26.873299717447157	-1.0	-1.0	-1.0	WB
29	13-4-23	41.01639723777771	34.33395000081858	-1.0	-1.0	-1.0	WB
30	13-4-23	41.049734354019165	29.97751491977272	-1.0	-1.0	-1.0	WB
31	13-4-23	41.089171409606934	25.682452208628778	-1.0	-1.0	-1.0	WB
32	13-4-23	41.11841416358948	33.64756846952364	-1.0	-1.0	-1.0	WB
33	13-4-23	41.15080189704895	30.834122386567472	-1.0	-1.0	-1.0	WB
34	13-4-23	41.19137692451477	24.704637821154684	-1.0	-1.0	-1.0	WB
35	13-4-23	41.22583079338074	29.04944419434152	-1.0	-1.0	-1.0	WB
36	13-4-23	41.253318786621094	36.254993992514414	-1.0	-1.0	-1.0	WB
37	13-4-23	41.28599214553833	30.615581135628727	-1.0	-1.0	-1.0	WB
38	13-4-23	41.31871676445007	30.547573268076675	-1.0	-1.0	-1.0	WB
39	13-4-23	41.34945321083069	32.552846033249	-1.0	-1.0	-1.0	WB
40	13-4-23	41.38514423370361	28.00272395882015	-1.0	-1.0	-1.0	WB
41	13-4-23	41.41833424568176	30.24665753227086	-1.0	-1.0	-1.0	WB
42	13-4-23	41.44901633262634	32.484018618483724	-1.0	-1.0	-1.0	WB
43	13-4-23	41.483731746673584	28.793980750483986	-1.0	-1.0	-1.0	WB
44	13-4-23	41.51505136489868	31.93324501697806	-1.0	-1.0	-1.0	WB
45	13-4-23	41.549827098846436	28.749967440999665	-1.0	-1.0	-1.0	WB
46	13-4-23	41.58324933052063	29.88247363921345	-1.0	-1.0	-1.0	WB
47	13-4-23	41.6157910823822	30.765592565153927	-1.0	-1.0	-1.0	WB
48	13-4-23	41.6538782119751	26.391553301536565	-1.0	-1.0	-1.0	WB
49	13-4-23	41.680917739868164	36.69942601147977	-1.0	-1.0	-1.0	WB
50	13-4-23	41.71661829948425	28.014132953961035	-1.0	-1.0	-1.0	WB
51	13-4-23	41.75004005432129	29.936861639484672	-1.0	-1.0	-1.0	WB
