Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	10-27-49	40.07908868789673	63.551986423831025	-1.0	-1.0	-1.0	WB
2	10-27-49	40.11355113983154	28.74917919297019	-1.0	-1.0	-1.0	WB
3	10-27-49	40.14790391921997	29.17472263763781	-1.0	-1.0	-1.0	WB
4	10-27-49	40.18282604217529	28.84903843508405	-1.0	-1.0	-1.0	WB
5	10-27-49	40.21247863769531	33.355897696908	-1.0	-1.0	-1.0	WB
6	10-27-49	40.248477935791016	27.78862564265649	-1.0	-1.0	-1.0	WB
7	10-27-49	40.280367851257324	31.67783693969261	-1.0	-1.0	-1.0	WB
8	10-27-49	40.31322884559631	30.133875521772556	-1.0	-1.0	-1.0	WB
9	10-27-49	40.34692978858948	29.882686539516527	-1.0	-1.0	-1.0	WB
10	10-27-49	40.37701964378357	32.947667750703054	-1.0	-1.0	-1.0	WB
11	10-27-49	40.41781044006348	24.55868420898546	-1.0	-1.0	-1.0	WB
12	10-27-49	40.44624900817871	35.48090311556258	-1.0	-1.0	-1.0	WB
13	10-27-49	40.47625708580017	33.022115498169505	-1.0	-1.0	-1.0	WB
14	10-27-49	40.51288819313049	27.271689304732863	-1.0	-1.0	-1.0	WB
15	10-27-49	40.54550623893738	30.65922049062893	-1.0	-1.0	-1.0	WB
16	10-27-49	40.57718062400818	31.583852288044337	-1.0	-1.0	-1.0	WB
17	10-27-49	40.61170434951782	28.967188093511517	-1.0	-1.0	-1.0	WB
18	10-27-50	40.64516496658325	29.88779705704208	-1.0	-1.0	-1.0	WB
19	10-27-50	40.682700395584106	26.56539528520578	-1.0	-1.0	-1.0	WB
20	10-27-50	40.71184492111206	34.398149818754405	-1.0	-1.0	-1.0	WB
21	10-27-50	40.74770927429199	27.98217383182558	-1.0	-1.0	-1.0	WB
22	10-27-50	40.78104114532471	30.074887783052013	-1.0	-1.0	-1.0	WB
23	10-27-50	40.81347465515137	30.66796329470259	-1.0	-1.0	-1.0	WB
24	10-27-50	40.85107493400574	26.51954046244602	-1.0	-1.0	-1.0	WB
25	10-27-50	40.877628803253174	37.79333213191566	-1.0	-1.0	-1.0	WB
26	10-27-50	40.913121700286865	28.311007013115	-1.0	-1.0	-1.0	WB
27	10-27-50	40.95057678222656	26.622557078205233	-1.0	-1.0	-1.0	WB
28	10-27-50	40.979103803634644	34.97089305218573	-1.0	-1.0	-1.0	WB
29	10-27-50	41.01275587081909	29.74620398147557	-1.0	-1.0	-1.0	WB
30	10-27-50	41.05247616767883	25.185115798701805	-1.0	-1.0	-1.0	WB
31	10-27-50	41.079596281051636	36.82314931872454	-1.0	-1.0	-1.0	WB
32	10-27-50	41.12170767784119	23.835200118201296	-1.0	-1.0	-1.0	WB
33	10-27-50	41.15212965011597	32.607763412605244	-1.0	-1.0	-1.0	WB
34	10-27-50	41.17915344238281	37.1325218007171	-1.0	-1.0	-1.0	WB
35	10-27-50	41.212353467941284	30.145570848456536	-1.0	-1.0	-1.0	WB
36	10-27-50	41.24741840362549	28.651378841595452	-1.0	-1.0	-1.0	WB
