|1| |12-7-18| |0.03531384468078613| |5.619731519246659e-10| |-1.0| |-1.0| |-1.0| |WB|
|2| |12-7-18| |0.06278324127197266| |36.23307043080884| |-1.0| |-1.0| |-1.0| |WB|
|3| |12-7-18| |0.09088325500488281| |35.8365003417635| |-1.0| |-1.0| |-1.0| |WB|
|4| |12-7-18| |0.11888480186462402| |35.68011024814339| |-1.0| |-1.0| |-1.0| |WB|
|5| |12-7-19| |0.15117883682250977| |30.943311594416738| |-1.0| |-1.0| |-1.0| |WB|
|6| |12-7-19| |0.1782512664794922| |36.759894829097284| |-1.0| |-1.0| |-1.0| |WB|
|7| |12-7-19| |0.21677374839782715| |26.22751375687844| |-1.0| |-1.0| |-1.0| |WB|
|8| |12-7-19| |0.24428868293762207| |36.16059866713797| |-1.0| |-1.0| |-1.0| |WB|
|9| |12-7-19| |0.2784998416900635| |29.345572595992387| |-1.0| |-1.0| |-1.0| |WB|
|10| |12-7-19| |0.3090183734893799| |32.7212188823791| |-1.0| |-1.0| |-1.0| |WB|
|11| |12-7-19| |0.3428385257720947| |29.473216732603| |-1.0| |-1.0| |-1.0| |WB|
|12| |12-7-19| |0.37759900093078613| |28.53889282020576| |-1.0| |-1.0| |-1.0| |WB|
|13| |12-7-19| |0.4114851951599121| |29.788456211870486| |-1.0| |-1.0| |-1.0| |WB|
|14| |12-7-19| |0.44394850730895996| |30.731104012191906| |-1.0| |-1.0| |-1.0| |WB|
|15| |12-7-19| |0.4804270267486572| |27.557301761463307| |-1.0| |-1.0| |-1.0| |WB|
|16| |12-7-19| |0.510453462600708| |33.43193738143442| |-1.0| |-1.0| |-1.0| |WB|
|17| |12-7-19| |0.5451314449310303| |28.803076500480703| |-1.0| |-1.0| |-1.0| |WB|
|18| |12-7-19| |0.5762615203857422| |31.856360556876268| |-1.0| |-1.0| |-1.0| |WB|
|19| |12-7-19| |0.6167752742767334| |24.738880402021906| |-1.0| |-1.0| |-1.0| |WB|
|20| |12-7-19| |0.6421151161193848| |39.26846485848836| |-1.0| |-1.0| |-1.0| |WB|
|21| |12-7-19| |0.6783790588378906| |27.840826269639503| |-1.0| |-1.0| |-1.0| |WB|
|22| |12-7-19| |0.707714319229126| |33.69622571782059| |-1.0| |-1.0| |-1.0| |WB|
