Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	10-36-11	40.1160147190094	39.88838907856321	-1.0	-1.0	-1.0	WB
2	10-36-11	40.15259265899658	26.79142021283391	-1.0	-1.0	-1.0	WB
3	10-36-11	40.18090605735779	35.65311708403461	-1.0	-1.0	-1.0	WB
4	10-36-11	40.2082679271698	35.907984966654396	-1.0	-1.0	-1.0	WB
5	10-36-11	40.248157024383545	25.269783890927275	-1.0	-1.0	-1.0	WB
6	10-36-11	40.283050775527954	28.719454410999425	-1.0	-1.0	-1.0	WB
7	10-36-11	40.31668472290039	29.551295329486447	-1.0	-1.0	-1.0	WB
8	10-36-11	40.35158658027649	28.85816900827015	-1.0	-1.0	-1.0	WB
9	10-36-11	40.38643932342529	28.539863775235943	-1.0	-1.0	-1.0	WB
10	10-36-11	40.42020320892334	29.869492454832255	-1.0	-1.0	-1.0	WB
11	10-36-11	40.44503903388977	39.42719094575159	-1.0	-1.0	-1.0	WB
12	10-36-11	40.486196994781494	24.58041679364261	-1.0	-1.0	-1.0	WB
13	10-36-11	40.51634764671326	32.69545695488136	-1.0	-1.0	-1.0	WB
14	10-36-12	40.551681995391846	28.43075504822846	-1.0	-1.0	-1.0	WB
15	10-36-12	40.58464574813843	30.584772891342233	-1.0	-1.0	-1.0	WB
16	10-36-12	40.61371946334839	33.950979439857534	-1.0	-1.0	-1.0	WB
17	10-36-12	40.651817321777344	26.2720342751912	-1.0	-1.0	-1.0	WB
18	10-36-12	40.677003145217896	39.989169193219304	-1.0	-1.0	-1.0	WB
19	10-36-12	40.71566128730774	25.772561646276646	-1.0	-1.0	-1.0	WB
20	10-36-12	40.74936509132385	29.919350581722984	-1.0	-1.0	-1.0	WB
21	10-36-12	40.78213882446289	30.298221535171994	-1.0	-1.0	-1.0	WB
22	10-36-12	40.81086993217468	34.958068360823795	-1.0	-1.0	-1.0	WB
23	10-36-12	40.843602895736694	30.241859660254377	-1.0	-1.0	-1.0	WB
24	10-36-12	40.87696194648743	30.065402204923085	-1.0	-1.0	-1.0	WB
25	10-36-12	40.923479318618774	21.510023436738756	-1.0	-1.0	-1.0	WB
26	10-36-12	40.94566607475281	45.04385927230551	-1.0	-1.0	-1.0	WB
27	10-36-12	40.980159759521484	29.032151781326355	-1.0	-1.0	-1.0	WB
28	10-36-12	41.01089358329773	32.68348255682571	-1.0	-1.0	-1.0	WB
29	10-36-12	41.04388451576233	30.032679832161424	-1.0	-1.0	-1.0	WB
30	10-36-12	41.073163747787476	34.27951224296316	-1.0	-1.0	-1.0	WB
31	10-36-12	41.113032817840576	25.024336401983188	-1.0	-1.0	-1.0	WB
32	10-36-12	41.154239654541016	24.500870377942636	-1.0	-1.0	-1.0	WB
33	10-36-12	41.189449071884155	28.22622412447172	-1.0	-1.0	-1.0	WB
34	10-36-12	41.20795559883118	53.51242663944884	-1.0	-1.0	-1.0	WB
35	10-36-12	41.25261211395264	22.528462009474804	-1.0	-1.0	-1.0	WB
36	10-36-12	41.27982974052429	36.514438437497276	-1.0	-1.0	-1.0	WB
37	10-36-12	41.307281732559204	36.29420926932263	-1.0	-1.0	-1.0	WB
38	10-36-12	41.34715986251831	25.184964573075536	-1.0	-1.0	-1.0	WB
39	10-36-12	41.389015197753906	23.904207724705493	-1.0	-1.0	-1.0	WB
40	10-36-12	41.41798233985901	34.55116397845033	-1.0	-1.0	-1.0	WB
41	10-36-12	41.44665598869324	34.60818192319752	-1.0	-1.0	-1.0	WB
42	10-36-12	41.477258920669556	33.063765716763236	-1.0	-1.0	-1.0	WB
43	10-36-12	41.50922155380249	30.944909658332165	-1.0	-1.0	-1.0	WB
44	10-36-12	41.547386169433594	26.257725246656985	-1.0	-1.0	-1.0	WB
45	10-36-13	41.57562708854675	35.42666013480413	-1.0	-1.0	-1.0	WB
46	10-36-13	41.61078333854675	28.457953944065245	-1.0	-1.0	-1.0	WB
47	10-36-13	41.64367628097534	30.40231951290229	-1.0	-1.0	-1.0	WB
48	10-36-13	41.67893934249878	28.269790452054703	-1.0	-1.0	-1.0	WB
49	10-36-13	41.718974113464355	25.22252423447911	-1.0	-1.0	-1.0	WB
50	10-36-13	41.756601095199585	26.383086861621493	-1.0	-1.0	-1.0	WB
