Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	9-43-44	20.0621657371521	34.39109864790626	-1.0	-1.0	-1.0	WB
2	9-43-44	20.093042135238647	31.705134892018354	-1.0	-1.0	-1.0	WB
3	9-43-44	20.1233332157135	33.02263547825813	-1.0	-1.0	-1.0	WB
4	9-43-44	20.16056799888611	26.979262079967068	-1.0	-1.0	-1.0	WB
5	9-43-44	20.19718074798584	27.130038809831824	-1.0	-1.0	-1.0	WB
6	9-43-44	20.22385811805725	37.619437991622796	-1.0	-1.0	-1.0	WB
7	9-43-44	20.260448932647705	27.553138097302696	-1.0	-1.0	-1.0	WB
8	9-43-44	20.293719053268433	29.914015918751605	-1.0	-1.0	-1.0	WB
9	9-43-44	20.32366919517517	33.225631154099034	-1.0	-1.0	-1.0	WB
10	9-43-44	20.369656801223755	21.776374813091877	-1.0	-1.0	-1.0	WB
11	9-43-44	20.394581079483032	39.89597739962523	-1.0	-1.0	-1.0	WB
12	9-43-44	20.428214073181152	29.862261934427398	-1.0	-1.0	-1.0	WB
13	9-43-45	20.457141876220703	34.511931014053914	-1.0	-1.0	-1.0	WB
14	9-43-45	20.49100685119629	29.51365804917179	-1.0	-1.0	-1.0	WB
15	9-43-45	20.52869987487793	26.45263908072074	-1.0	-1.0	-1.0	WB
16	9-43-45	20.558420419692993	33.822031916523535	-1.0	-1.0	-1.0	WB
17	9-43-45	20.596544981002808	26.92453460007703	-1.0	-1.0	-1.0	WB
18	9-43-45	20.625458478927612	33.51983952560957	-1.0	-1.0	-1.0	WB
19	9-43-45	20.664336919784546	25.921487194699893	-1.0	-1.0	-1.0	WB
20	9-43-45	20.693185806274414	34.16976105711655	-1.0	-1.0	-1.0	WB
21	9-43-45	20.724430322647095	31.880089689507088	-1.0	-1.0	-1.0	WB
22	9-43-45	20.76101541519165	27.60009738956484	-1.0	-1.0	-1.0	WB
23	9-43-45	20.791730880737305	32.316826800835216	-1.0	-1.0	-1.0	WB
24	9-43-45	20.82552409172058	29.631044641154073	-1.0	-1.0	-1.0	WB
25	9-43-45	20.857948303222656	30.687035411179398	-1.0	-1.0	-1.0	WB
26	9-43-45	20.89470911026001	27.404974877326868	-1.0	-1.0	-1.0	WB
27	9-43-45	20.925222396850586	32.57155282204206	-1.0	-1.0	-1.0	WB
28	9-43-45	20.960946798324585	28.262742244144363	-1.0	-1.0	-1.0	WB
29	9-43-45	20.993088722229004	30.81758400011756	-1.0	-1.0	-1.0	WB
30	9-43-45	21.028497219085693	28.29916404094108	-1.0	-1.0	-1.0	WB
31	9-43-45	21.06282615661621	28.97259062776304	-1.0	-1.0	-1.0	WB
32	9-43-45	21.09611463546753	30.341618681096097	-1.0	-1.0	-1.0	WB
33	9-43-45	21.127708911895752	31.672574323967165	-1.0	-1.0	-1.0	WB
34	9-43-45	21.158622980117798	32.09992040653891	-1.0	-1.0	-1.0	WB
35	9-43-45	21.195157766342163	27.50561679858875	-1.0	-1.0	-1.0	WB
36	9-43-45	21.22954821586609	29.031749877139674	-1.0	-1.0	-1.0	WB
37	9-43-45	21.263290643692017	29.567335889916535	-1.0	-1.0	-1.0	WB
38	9-43-45	21.29332947731018	33.3103338733759	-1.0	-1.0	-1.0	WB
39	9-43-45	21.32585096359253	30.678730516322037	-1.0	-1.0	-1.0	WB
40	9-43-45	21.365471124649048	25.761797421550142	-1.0	-1.0	-1.0	WB
41	9-43-45	21.396758317947388	31.224578826297023	-1.0	-1.0	-1.0	WB
42	9-43-45	21.426862955093384	33.19565337828747	-1.0	-1.0	-1.0	WB
43	9-43-46	21.458258152008057	31.81624680457259	-1.0	-1.0	-1.0	WB
44	9-43-46	21.497147798538208	25.777313429166693	-1.0	-1.0	-1.0	WB
45	9-43-46	21.52712059020996	33.14292938870978	-1.0	-1.0	-1.0	WB
46	9-43-46	21.558275938034058	32.218523155865206	-1.0	-1.0	-1.0	WB
47	9-43-46	21.601308345794678	23.257499639573698	-1.0	-1.0	-1.0	WB
48	9-43-46	21.625380039215088	41.44118722273271	-1.0	-1.0	-1.0	WB
49	9-43-46	21.657784461975098	30.896811833343154	-1.0	-1.0	-1.0	WB
