Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	10-35-51	20.070852518081665	46.55940500638286	-1.0	-1.0	-1.0	WB
2	10-35-51	20.098366260528564	36.45952712100139	-1.0	-1.0	-1.0	WB
3	10-35-51	20.13509249687195	27.03839509037931	-1.0	-1.0	-1.0	WB
4	10-35-51	20.15623188018799	45.81085007154013	-1.0	-1.0	-1.0	WB
5	10-35-51	20.195348024368286	25.55398909434307	-1.0	-1.0	-1.0	WB
6	10-35-51	20.222474098205566	37.00965322509486	-1.0	-1.0	-1.0	WB
7	10-35-51	20.25926113128662	27.190716670448285	-1.0	-1.0	-1.0	WB
8	10-35-51	20.30140709877014	23.814629548667693	-1.0	-1.0	-1.0	WB
9	10-35-51	20.322561502456665	46.88625820226478	-1.0	-1.0	-1.0	WB
10	10-35-51	20.359110355377197	27.36706663795747	-1.0	-1.0	-1.0	WB
11	10-35-51	20.392440795898438	30.20353141112423	-1.0	-1.0	-1.0	WB
12	10-35-51	20.428674697875977	27.449633507853402	-1.0	-1.0	-1.0	WB
13	10-35-51	20.470149040222168	24.4554423117289	-1.0	-1.0	-1.0	WB
14	10-35-51	20.492769956588745	43.432334758882064	-1.0	-1.0	-1.0	WB
15	10-35-51	20.527734518051147	28.487913550814707	-1.0	-1.0	-1.0	WB
16	10-35-52	20.559847116470337	31.056955839232295	-1.0	-1.0	-1.0	WB
17	10-35-52	20.586386680603027	37.93381508379383	-1.0	-1.0	-1.0	WB
18	10-35-52	20.624042987823486	26.405842357088893	-1.0	-1.0	-1.0	WB
19	10-35-52	20.658885955810547	28.61716905694363	-1.0	-1.0	-1.0	WB
20	10-35-52	20.69505524635315	27.765998715733588	-1.0	-1.0	-1.0	WB
21	10-35-52	20.72826075553894	30.359847415546533	-1.0	-1.0	-1.0	WB
22	10-35-52	20.76449942588806	27.48110728910729	-1.0	-1.0	-1.0	WB
23	10-35-52	20.79489755630493	32.88334862133578	-1.0	-1.0	-1.0	WB
24	10-35-52	20.837343215942383	23.680845538002913	-1.0	-1.0	-1.0	WB
25	10-35-52	20.87194061279297	28.95758856140787	-1.0	-1.0	-1.0	WB
26	10-35-52	20.902343273162842	32.662103336837596	-1.0	-1.0	-1.0	WB
27	10-35-52	20.935662031173706	30.698714758321866	-1.0	-1.0	-1.0	WB
28	10-35-52	20.961849451065063	36.71098974197388	-1.0	-1.0	-1.0	WB
29	10-35-52	20.989447355270386	36.62124122515978	-1.0	-1.0	-1.0	WB
30	10-35-52	21.028154611587524	25.752781393521133	-1.0	-1.0	-1.0	WB
31	10-35-52	21.067732095718384	25.351958076195427	-1.0	-1.0	-1.0	WB
32	10-35-52	21.095160007476807	36.321238677497014	-1.0	-1.0	-1.0	WB
33	10-35-52	21.125484943389893	32.747277113701486	-1.0	-1.0	-1.0	WB
34	10-35-52	21.167096853256226	24.262202529009567	-1.0	-1.0	-1.0	WB
35	10-35-52	21.198601961135864	31.70968912543849	-1.0	-1.0	-1.0	WB
36	10-35-52	21.235408306121826	27.16993256592798	-1.0	-1.0	-1.0	WB
37	10-35-52	21.261290073394775	38.11409774094469	-1.0	-1.0	-1.0	WB
38	10-35-52	21.292110681533813	32.53517018833969	-1.0	-1.0	-1.0	WB
39	10-35-52	21.32914113998413	27.036129356633168	-1.0	-1.0	-1.0	WB
40	10-35-52	21.358412742614746	34.138334065862516	-1.0	-1.0	-1.0	WB
41	10-35-52	21.3943350315094	27.795991941469623	-1.0	-1.0	-1.0	WB
42	10-35-52	21.428150177001953	29.535064185168753	-1.0	-1.0	-1.0	WB
43	10-35-52	21.460100889205933	31.46963183049347	-1.0	-1.0	-1.0	WB
44	10-35-52	21.492246627807617	31.098404413073137	-1.0	-1.0	-1.0	WB
45	10-35-52	21.528202772140503	27.76452832187043	-1.0	-1.0	-1.0	WB
46	10-35-53	21.553828477859497	38.910366068612355	-1.0	-1.0	-1.0	WB
47	10-35-53	21.597411155700684	22.9417581936726	-1.0	-1.0	-1.0	WB
48	10-35-53	21.627728700637817	33.3949377771762	-1.0	-1.0	-1.0	WB
49	10-35-53	21.653198957443237	38.785511508123655	-1.0	-1.0	-1.0	WB
50	10-35-53	21.69854235649109	22.299452389813386	-1.0	-1.0	-1.0	WB
51	10-35-53	21.730497360229492	30.850905453315093	-1.0	-1.0	-1.0	WB
52	10-35-53	21.762973070144653	30.830269396155686	-1.0	-1.0	-1.0	WB
53	10-35-53	21.791990518569946	34.50199478476889	-1.0	-1.0	-1.0	WB
54	10-35-53	21.822558403015137	32.594839912962385	-1.0	-1.0	-1.0	WB
55	10-35-53	21.860702991485596	26.23965566858101	-1.0	-1.0	-1.0	WB
56	10-35-53	21.893161058425903	30.799480103685536	-1.0	-1.0	-1.0	WB
57	10-35-53	21.93130588531494	26.40501117441531	-1.0	-1.0	-1.0	WB
58	10-35-53	21.9596209526062	34.98547799177559	-1.0	-1.0	-1.0	WB
59	10-35-53	21.995893716812134	27.893037886294564	-1.0	-1.0	-1.0	WB
60	10-35-53	22.023309469223022	35.88402275741113	-1.0	-1.0	-1.0	WB
61	10-35-53	22.065232515335083	24.239207572903062	-1.0	-1.0	-1.0	WB
62	10-35-53	22.092122793197632	36.32312595261189	-1.0	-1.0	-1.0	WB
63	10-35-53	22.13411521911621	24.209546897546897	-1.0	-1.0	-1.0	WB
64	10-35-53	22.171129941940308	26.680983702497425	-1.0	-1.0	-1.0	WB
65	10-35-53	22.19096851348877	49.76748380360236	-1.0	-1.0	-1.0	WB
66	10-35-53	22.223414182662964	30.836389301415988	-1.0	-1.0	-1.0	WB
67	10-35-53	22.265902280807495	23.66054041857054	-1.0	-1.0	-1.0	WB
68	10-35-53	22.292728662490845	37.41940779202241	-1.0	-1.0	-1.0	WB
69	10-35-53	22.323230028152466	32.408218140796315	-1.0	-1.0	-1.0	WB
70	10-35-53	22.358277320861816	28.63475245091346	-1.0	-1.0	-1.0	WB
71	10-35-53	22.389801502227783	31.69890490262022	-1.0	-1.0	-1.0	WB
72	10-35-53	22.426664113998413	27.289788216923128	-1.0	-1.0	-1.0	WB
73	10-35-53	22.46373677253723	26.78491876979667	-1.0	-1.0	-1.0	WB
74	10-35-53	22.500391244888306	27.442270071512226	-1.0	-1.0	-1.0	WB
75	10-35-53	22.528672695159912	35.26136411403206	-1.0	-1.0	-1.0	WB
76	10-35-54	22.560247898101807	31.56388702843855	-1.0	-1.0	-1.0	WB
77	10-35-54	22.58996295928955	33.55577423096924	-1.0	-1.0	-1.0	WB
78	10-35-54	22.63207769393921	24.01672001420056	-1.0	-1.0	-1.0	WB
79	10-35-54	22.66508436203003	29.79565103112191	-1.0	-1.0	-1.0	WB
80	10-35-54	22.69510769844055	33.49762003641823	-1.0	-1.0	-1.0	WB
81	10-35-54	22.728183031082153	30.295376570095417	-1.0	-1.0	-1.0	WB
82	10-35-54	22.757195234298706	34.29016170964208	-1.0	-1.0	-1.0	WB
83	10-35-54	22.799296855926514	23.802331256313348	-1.0	-1.0	-1.0	WB
84	10-35-54	22.831388235092163	31.22295174713773	-1.0	-1.0	-1.0	WB
85	10-35-54	22.859891891479492	34.792487889043734	-1.0	-1.0	-1.0	WB
86	10-35-54	22.89371085166931	29.6576535807218	-1.0	-1.0	-1.0	WB
87	10-35-54	22.928450107574463	28.82386008315294	-1.0	-1.0	-1.0	WB
88	10-35-54	22.96747612953186	25.614070229007634	-1.0	-1.0	-1.0	WB
89	10-35-54	22.993595838546753	38.66181201434273	-1.0	-1.0	-1.0	WB
90	10-35-54	23.02171301841736	35.18593335794101	-1.0	-1.0	-1.0	WB
91	10-35-54	23.05714249610901	28.260076271072244	-1.0	-1.0	-1.0	WB
92	10-35-54	23.094574213027954	26.740860694931463	-1.0	-1.0	-1.0	WB
93	10-35-54	23.12719416618347	30.508022868448233	-1.0	-1.0	-1.0	WB
94	10-35-54	23.162010431289673	28.81890889102652	-1.0	-1.0	-1.0	WB
95	10-35-54	23.191523790359497	34.021478861815	-1.0	-1.0	-1.0	WB
96	10-35-54	23.228007316589355	27.363317284482196	-1.0	-1.0	-1.0	WB
97	10-35-54	23.259803295135498	31.753620664854758	-1.0	-1.0	-1.0	WB
98	10-35-54	23.290647506713867	32.277284410447415	-1.0	-1.0	-1.0	WB
99	10-35-54	23.32522988319397	28.686651483130543	-1.0	-1.0	-1.0	WB
100	10-35-54	23.368989944458008	23.208725051322205	-1.0	-1.0	-1.0	WB
