Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	13-3-42	0.02254772186279297	52.69027549212969	-1.0	-1.0	-1.0	WB
2	13-3-42	0.05889606475830078	27.666547934723816	-1.0	-1.0	-1.0	WB
3	13-3-42	0.09124588966369629	30.81215059687787	-1.0	-1.0	-1.0	WB
4	13-3-42	0.12077832221984863	33.578877422763775	-1.0	-1.0	-1.0	WB
5	13-3-42	0.1568005084991455	27.763793183337636	-1.0	-1.0	-1.0	WB
6	13-3-42	0.1921558380126953	28.29706390328152	-1.0	-1.0	-1.0	WB
7	13-3-42	0.22071385383605957	35.01965433748017	-1.0	-1.0	-1.0	WB
8	13-3-42	0.25771093368530273	27.076970749436743	-1.0	-1.0	-1.0	WB
9	13-3-42	0.28991198539733887	31.001862637849985	-1.0	-1.0	-1.0	WB
10	13-3-42	0.3211824893951416	31.964151532933492	-1.0	-1.0	-1.0	WB
11	13-3-42	0.3612186908721924	25.01717196418879	-1.0	-1.0	-1.0	WB
12	13-3-42	0.38820600509643555	36.943478988487925	-1.0	-1.0	-1.0	WB
13	13-3-42	0.42229151725769043	29.7457820644658	-1.0	-1.0	-1.0	WB
14	13-3-42	0.45610976219177246	29.383193807138603	-1.0	-1.0	-1.0	WB
15	13-3-42	0.48810529708862305	31.036732277638006	-1.0	-1.0	-1.0	WB
16	13-3-42	0.525998592376709	26.84681017211693	-1.0	-1.0	-1.0	WB
17	13-3-42	0.556384801864624	32.21926563220157	-1.0	-1.0	-1.0	WB
18	13-3-42	0.5908205509185791	29.37990067315303	-1.0	-1.0	-1.0	WB
19	13-3-42	0.6246004104614258	29.37887172015746	-1.0	-1.0	-1.0	WB
20	13-3-42	0.6569175720214844	30.775073556926824	-1.0	-1.0	-1.0	WB
21	13-3-42	0.689950704574585	30.334157807188834	-1.0	-1.0	-1.0	WB
22	13-3-42	0.7242441177368164	29.242660233840663	-1.0	-1.0	-1.0	WB
23	13-3-42	0.7562916278839111	31.01768190322652	-1.0	-1.0	-1.0	WB
24	13-3-42	0.7904486656188965	29.46534876042347	-1.0	-1.0	-1.0	WB
25	13-3-42	0.8207783699035645	32.72606972316719	-1.0	-1.0	-1.0	WB
26	13-3-42	0.8586180210113525	26.58796084994168	-1.0	-1.0	-1.0	WB
27	13-3-43	0.8908975124359131	31.05580606706798	-1.0	-1.0	-1.0	WB
28	13-3-43	0.9235098361968994	30.638839986851238	-1.0	-1.0	-1.0	WB
29	13-3-43	0.9581902027130127	28.997227695392166	-1.0	-1.0	-1.0	WB
30	13-3-43	0.9889914989471436	32.1119626382881	-1.0	-1.0	-1.0	WB
31	13-3-43	1.0331096649169922	22.661746351636832	-1.0	-1.0	-1.0	WB
32	13-3-43	1.05787992477417	40.45198001658854	-1.0	-1.0	-1.0	WB
33	13-3-43	1.0881919860839844	32.80054429003777	-1.0	-1.0	-1.0	WB
34	13-3-43	1.1219439506530762	29.653879328629404	-1.0	-1.0	-1.0	WB
35	13-3-43	1.1612107753753662	25.5687881004633	-1.0	-1.0	-1.0	WB
36	13-3-43	1.189434289932251	35.272039221952184	-1.0	-1.0	-1.0	WB
37	13-3-43	1.2342150211334229	22.328536825574275	-1.0	-1.0	-1.0	WB
38	13-3-43	1.2609577178955078	37.63361477241119	-1.0	-1.0	-1.0	WB
39	13-3-43	1.2906510829925537	33.66485271691147	-1.0	-1.0	-1.0	WB
40	13-3-43	1.3343980312347412	22.991684344970864	-1.0	-1.0	-1.0	WB
41	13-3-43	1.3587195873260498	41.38435125801677	-1.0	-1.0	-1.0	WB
42	13-3-43	1.3898401260375977	31.611941423414052	-1.0	-1.0	-1.0	WB
43	13-3-43	1.4248535633087158	28.54355400696864	-1.0	-1.0	-1.0	WB
44	13-3-43	1.4558627605438232	32.16293478927673	-1.0	-1.0	-1.0	WB
