Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	13-4-2	20.044559240341187	132.19566313666164	-1.0	-1.0	-1.0	WB
2	13-4-2	20.077802181243896	29.99852664554382	-1.0	-1.0	-1.0	WB
3	13-4-2	20.11297106742859	28.372865762913655	-1.0	-1.0	-1.0	WB
4	13-4-2	20.147977828979492	28.631038602000068	-1.0	-1.0	-1.0	WB
5	13-4-2	20.18044400215149	30.74169030394981	-1.0	-1.0	-1.0	WB
6	13-4-2	20.209080457687378	34.880157007542685	-1.0	-1.0	-1.0	WB
7	13-4-2	20.241626024246216	30.614463811275584	-1.0	-1.0	-1.0	WB
8	13-4-2	20.27642035484314	28.75114989409321	-1.0	-1.0	-1.0	WB
9	13-4-2	20.31181812286377	28.32152117545376	-1.0	-1.0	-1.0	WB
10	13-4-2	20.339970588684082	35.39467177492173	-1.0	-1.0	-1.0	WB
11	13-4-2	20.376140832901	27.770043102021358	-1.0	-1.0	-1.0	WB
12	13-4-2	20.409905910491943	29.531528994282816	-1.0	-1.0	-1.0	WB
13	13-4-2	20.44137144088745	31.887603205254916	-1.0	-1.0	-1.0	WB
14	13-4-2	20.478564739227295	26.862972902002728	-1.0	-1.0	-1.0	WB
15	13-4-2	20.50881004333496	33.05490625664951	-1.0	-1.0	-1.0	WB
16	13-4-2	20.543596744537354	28.706284947745207	-1.0	-1.0	-1.0	WB
17	13-4-2	20.57925248146057	28.02723670406479	-1.0	-1.0	-1.0	WB
18	13-4-2	20.611733436584473	30.88566358126965	-1.0	-1.0	-1.0	WB
19	13-4-2	20.64171862602234	33.21773701758971	-1.0	-1.0	-1.0	WB
20	13-4-2	20.67818784713745	27.873204056406916	-1.0	-1.0	-1.0	WB
21	13-4-2	20.711100578308105	29.914442621781614	-1.0	-1.0	-1.0	WB
22	13-4-2	20.744715452194214	30.190487158816076	-1.0	-1.0	-1.0	WB
23	13-4-2	20.782753467559814	25.972530806861105	-1.0	-1.0	-1.0	WB
24	13-4-2	20.81022596359253	36.28478986798623	-1.0	-1.0	-1.0	WB
25	13-4-2	20.843371629714966	30.18201443508171	-1.0	-1.0	-1.0	WB
26	13-4-2	20.878709316253662	28.276460912008197	-1.0	-1.0	-1.0	WB
27	13-4-3	20.91387939453125	28.630647726574605	-1.0	-1.0	-1.0	WB
28	13-4-3	20.942726850509644	34.587348577931344	-1.0	-1.0	-1.0	WB
29	13-4-3	20.98245120048523	25.494344118308522	-1.0	-1.0	-1.0	WB
30	13-4-3	21.01303005218506	32.0913243406606	-1.0	-1.0	-1.0	WB
31	13-4-3	21.04506015777588	31.228996038955238	-1.0	-1.0	-1.0	WB
32	13-4-3	21.079156160354614	29.295560584471826	-1.0	-1.0	-1.0	WB
33	13-4-3	21.110116004943848	32.23189296774739	-1.0	-1.0	-1.0	WB
34	13-4-3	21.142844200134277	30.977591988064816	-1.0	-1.0	-1.0	WB
35	13-4-3	21.177845001220703	28.221286216038003	-1.0	-1.0	-1.0	WB
36	13-4-3	21.211191177368164	30.068635252453564	-1.0	-1.0	-1.0	WB
37	13-4-3	21.242168188095093	32.16515464075645	-1.0	-1.0	-1.0	WB
38	13-4-3	21.28198003768921	25.29035370162681	-1.0	-1.0	-1.0	WB
39	13-4-3	21.309786319732666	35.74396427567047	-1.0	-1.0	-1.0	WB
40	13-4-3	21.342599868774414	30.404082579447923	-1.0	-1.0	-1.0	WB
41	13-4-3	21.378974676132202	27.492996152308287	-1.0	-1.0	-1.0	WB
42	13-4-3	21.4103786945343	31.874032981229576	-1.0	-1.0	-1.0	WB
43	13-4-3	21.442681789398193	30.931445427728615	-1.0	-1.0	-1.0	WB
44	13-4-3	21.479909420013428	26.906226344893064	-1.0	-1.0	-1.0	WB
45	13-4-3	21.510192394256592	33.14319128256592	-1.0	-1.0	-1.0	WB
46	13-4-3	21.54274034500122	30.5593693306424	-1.0	-1.0	-1.0	WB
47	13-4-3	21.578181743621826	28.276270283753448	-1.0	-1.0	-1.0	WB
48	13-4-3	21.61044716835022	30.94513796665191	-1.0	-1.0	-1.0	WB
49	13-4-3	21.643596649169922	30.1064055815556	-1.0	-1.0	-1.0	WB
50	13-4-3	21.681745529174805	26.23030212066065	-1.0	-1.0	-1.0	WB
51	13-4-3	21.709290266036987	36.258128095851454	-1.0	-1.0	-1.0	WB
52	13-4-3	21.7442409992218	28.718667835232253	-1.0	-1.0	-1.0	WB
53	13-4-3	21.78492569923401	24.593820913200776	-1.0	-1.0	-1.0	WB
54	13-4-3	21.810856342315674	38.48620873171716	-1.0	-1.0	-1.0	WB
55	13-4-3	21.84434962272644	30.178974104373978	-1.0	-1.0	-1.0	WB
56	13-4-3	21.87731695175171	29.974087228705578	-1.0	-1.0	-1.0	WB
57	13-4-4	21.90955114364624	30.93578008718036	-1.0	-1.0	-1.0	WB
58	13-4-4	21.943158864974976	29.737978758100425	-1.0	-1.0	-1.0	WB
59	13-4-4	21.976446628570557	30.05786113042045	-1.0	-1.0	-1.0	WB
60	13-4-4	22.011696577072144	28.426130626020832	-1.0	-1.0	-1.0	WB
61	13-4-4	22.046781539916992	28.639249452042634	-1.0	-1.0	-1.0	WB
62	13-4-4	22.076993942260742	32.90889119040894	-1.0	-1.0	-1.0	WB
63	13-4-4	22.111679077148438	28.830398262327986	-1.0	-1.0	-1.0	WB
64	13-4-4	22.144219636917114	30.940800684572768	-1.0	-1.0	-1.0	WB
65	13-4-4	22.178919315338135	28.603312942845257	-1.0	-1.0	-1.0	WB
66	13-4-4	22.21150541305542	30.772138339862952	-1.0	-1.0	-1.0	WB
67	13-4-4	22.246684312820435	28.584404432510528	-1.0	-1.0	-1.0	WB
68	13-4-4	22.277676105499268	32.70386975540152	-1.0	-1.0	-1.0	WB
69	13-4-4	22.310954093933105	29.56587693760882	-1.0	-1.0	-1.0	WB
70	13-4-4	22.35304284095764	23.734178361249434	-1.0	-1.0	-1.0	WB
71	13-4-4	22.378445863723755	39.74249789173465	-1.0	-1.0	-1.0	WB
72	13-4-4	22.411557912826538	30.037626669531278	-1.0	-1.0	-1.0	WB
73	13-4-4	22.446199417114258	28.803867706845402	-1.0	-1.0	-1.0	WB
74	13-4-4	22.477792501449585	31.719761022460865	-1.0	-1.0	-1.0	WB
75	13-4-4	22.511157035827637	29.97944334052864	-1.0	-1.0	-1.0	WB
76	13-4-4	22.54885983467102	26.44146609004829	-1.0	-1.0	-1.0	WB
77	13-4-4	22.57854652404785	33.70326562098226	-1.0	-1.0	-1.0	WB
78	13-4-4	22.611563682556152	30.361166004328723	-1.0	-1.0	-1.0	WB
79	13-4-4	22.648497581481934	27.02863771104524	-1.0	-1.0	-1.0	WB
80	13-4-4	22.68059206008911	31.12101740691825	-1.0	-1.0	-1.0	WB
81	13-4-4	22.710443019866943	33.49013094857873	-1.0	-1.0	-1.0	WB
82	13-4-4	22.751293182373047	24.609549737728386	-1.0	-1.0	-1.0	WB
83	13-4-4	22.780686855316162	33.8898055153802	-1.0	-1.0	-1.0	WB
84	13-4-4	22.812036275863647	32.00341833386745	-1.0	-1.0	-1.0	WB
85	13-4-4	22.85265827178955	24.560697534153526	-1.0	-1.0	-1.0	WB
86	13-4-4	22.88047456741333	35.947993177747115	-1.0	-1.0	-1.0	WB
87	13-4-5	22.914103984832764	29.661638555920938	-1.0	-1.0	-1.0	WB
88	13-4-5	22.948363542556763	29.26816741797273	-1.0	-1.0	-1.0	WB
89	13-4-5	22.978936433792114	33.238532982534	-1.0	-1.0	-1.0	WB
90	13-4-5	23.011783599853516	29.9989557629725	-1.0	-1.0	-1.0	WB
91	13-4-5	23.045161247253418	29.818104263381272	-1.0	-1.0	-1.0	WB
92	13-4-5	23.079915523529053	28.885396508384698	-1.0	-1.0	-1.0	WB
93	13-4-5	23.11163020133972	31.523558281286405	-1.0	-1.0	-1.0	WB
94	13-4-5	23.149983882904053	26.08576457344719	-1.0	-1.0	-1.0	WB
95	13-4-5	23.177090406417847	36.71452455773321	-1.0	-1.0	-1.0	WB
96	13-4-5	23.20982313156128	30.538898960995464	-1.0	-1.0	-1.0	WB
97	13-4-5	23.244266986846924	29.097003794684667	-1.0	-1.0	-1.0	WB
98	13-4-5	23.27789807319641	29.83019216818628	-1.0	-1.0	-1.0	WB
99	13-4-5	23.310055017471313	30.994760683697525	-1.0	-1.0	-1.0	WB
100	13-4-5	23.349344968795776	25.502094619654766	-1.0	-1.0	-1.0	WB
101	13-4-5	23.380138635635376	32.37244913710599	-1.0	-1.0	-1.0	WB
102	13-4-5	23.42198133468628	23.95513164658176	-1.0	-1.0	-1.0	WB
103	13-4-5	23.44516897201538	42.93307674985158	-1.0	-1.0	-1.0	WB
104	13-4-5	23.48151397705078	27.519332340417154	-1.0	-1.0	-1.0	WB
105	13-4-5	23.515459537506104	29.58923746569689	-1.0	-1.0	-1.0	WB
106	13-4-5	23.54996657371521	28.957788486764887	-1.0	-1.0	-1.0	WB
107	13-4-5	23.584195852279663	29.17208474175465	-1.0	-1.0	-1.0	WB
108	13-4-5	23.62088942527771	27.3031115740138	-1.0	-1.0	-1.0	WB
109	13-4-5	23.64449191093445	42.1216357355186	-1.0	-1.0	-1.0	WB
110	13-4-5	23.686863660812378	23.6430685283623	-1.0	-1.0	-1.0	WB
111	13-4-5	23.711161375045776	40.91405160220456	-1.0	-1.0	-1.0	WB
