Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	10-27-49	40.08130860328674	54.96977798747084	-1.0	-1.0	-1.0	WB
2	10-27-49	40.120396852493286	25.45952508133832	-1.0	-1.0	-1.0	WB
3	10-27-49	40.1478066444397	36.658689857099155	-1.0	-1.0	-1.0	WB
4	10-27-49	40.182960510253906	28.493719472014455	-1.0	-1.0	-1.0	WB
5	10-27-49	40.21349883079529	32.332022878991104	-1.0	-1.0	-1.0	WB
6	10-27-49	40.24755620956421	29.4432167576902	-1.0	-1.0	-1.0	WB
7	10-27-49	40.280285120010376	30.88429904202287	-1.0	-1.0	-1.0	WB
8	10-27-49	40.314135789871216	29.298630175262126	-1.0	-1.0	-1.0	WB
9	10-27-49	40.34704899787903	30.44623659816639	-1.0	-1.0	-1.0	WB
10	10-27-49	40.37914490699768	31.069839106343892	-1.0	-1.0	-1.0	WB
11	10-27-49	40.41560077667236	27.392446397899672	-1.0	-1.0	-1.0	WB
12	10-27-49	40.44581627845764	33.2796750031738	-1.0	-1.0	-1.0	WB
13	10-27-49	40.47790718078613	31.037191611537835	-1.0	-1.0	-1.0	WB
14	10-27-49	40.51424026489258	27.520957455184902	-1.0	-1.0	-1.0	WB
15	10-27-49	40.54823684692383	29.530489393310006	-1.0	-1.0	-1.0	WB
16	10-27-49	40.5795738697052	31.659186461659232	-1.0	-1.0	-1.0	WB
17	10-27-49	40.61647176742554	27.209943819495802	-1.0	-1.0	-1.0	WB
18	10-27-50	40.646018505096436	33.827487478929925	-1.0	-1.0	-1.0	WB
19	10-27-50	40.68063402175903	28.857176274708113	-1.0	-1.0	-1.0	WB
20	10-27-50	40.714152097702026	29.965949603126408	-1.0	-1.0	-1.0	WB
21	10-27-50	40.747597217559814	29.88992695528238	-1.0	-1.0	-1.0	WB
22	10-27-50	40.78594422340393	25.968349884841132	-1.0	-1.0	-1.0	WB
23	10-27-50	40.81502628326416	34.45975878274015	-1.0	-1.0	-1.0	WB
24	10-27-50	40.850175619125366	28.432104121475053	-1.0	-1.0	-1.0	WB
25	10-27-50	40.88211250305176	31.328597784599758	-1.0	-1.0	-1.0	WB
26	10-27-50	40.913655042648315	31.600033149754015	-1.0	-1.0	-1.0	WB
27	10-27-50	40.9498565196991	27.664723108988735	-1.0	-1.0	-1.0	WB
28	10-27-50	40.98033285140991	32.869690605310176	-1.0	-1.0	-1.0	WB
29	10-27-50	41.014761209487915	29.047834728830345	-1.0	-1.0	-1.0	WB
30	10-27-50	41.05147099494934	27.212062231564744	-1.0	-1.0	-1.0	WB
31	10-27-50	41.080602407455444	34.368554314604346	-1.0	-1.0	-1.0	WB
32	10-27-50	41.12160563468933	24.501299748228547	-1.0	-1.0	-1.0	WB
33	10-27-50	41.151161909103394	33.577264539887125	-1.0	-1.0	-1.0	WB
34	10-27-50	41.18102669715881	33.53297089862488	-1.0	-1.0	-1.0	WB
35	10-27-50	41.21339511871338	30.888393021526046	-1.0	-1.0	-1.0	WB
36	10-27-50	41.24753665924072	29.340030079395614	-1.0	-1.0	-1.0	WB
37	10-27-50	41.28335523605347	28.011887826998723	-1.0	-1.0	-1.0	WB
38	10-27-50	41.318626165390015	28.350810785234852	-1.0	-1.0	-1.0	WB
39	10-27-50	41.34821581840515	33.609551664730155	-1.0	-1.0	-1.0	WB
40	10-27-50	41.383357524871826	28.481142965789797	-1.0	-1.0	-1.0	WB
41	10-27-50	41.4149911403656	31.793335556835753	-1.0	-1.0	-1.0	WB
42	10-27-50	41.44945669174194	28.860154680318168	-1.0	-1.0	-1.0	WB
43	10-27-50	41.47857642173767	34.24340939706903	-1.0	-1.0	-1.0	WB
44	10-27-50	41.51449704170227	27.962585918385034	-1.0	-1.0	-1.0	WB
45	10-27-50	41.54521465301514	32.392950371480204	-1.0	-1.0	-1.0	WB
46	10-27-50	41.58182168006897	27.52384702207523	-1.0	-1.0	-1.0	WB
47	10-27-50	41.61497926712036	29.95460713316479	-1.0	-1.0	-1.0	WB
48	10-27-51	41.648855209350586	29.474459428121683	-1.0	-1.0	-1.0	WB
49	10-27-51	41.68327260017395	29.029137771133534	-1.0	-1.0	-1.0	WB
50	10-27-51	41.71599793434143	30.62631160049945	-1.0	-1.0	-1.0	WB
51	10-27-51	41.74755787849426	31.790684806912495	-1.0	-1.0	-1.0	WB
52	10-27-51	41.78311848640442	28.042227437136876	-1.0	-1.0	-1.0	WB
53	10-27-51	41.81618332862854	30.125434539029506	-1.0	-1.0	-1.0	WB
54	10-27-51	41.84792423248291	31.9449191914576	-1.0	-1.0	-1.0	WB
55	10-27-51	41.88005304336548	30.797897024701147	-1.0	-1.0	-1.0	WB
56	10-27-51	41.91859698295593	25.950997376627235	-1.0	-1.0	-1.0	WB
57	10-27-51	41.947864294052124	34.232509549149555	-1.0	-1.0	-1.0	WB
58	10-27-51	41.981595516204834	29.59466572587758	-1.0	-1.0	-1.0	WB
59	10-27-51	42.02149438858032	25.03165433277632	-1.0	-1.0	-1.0	WB
60	10-27-51	42.0474750995636	38.52934043725887	-1.0	-1.0	-1.0	WB
61	10-27-51	42.081307888031006	29.57713544274341	-1.0	-1.0	-1.0	WB
62	10-27-51	42.11650466918945	28.58284608360251	-1.0	-1.0	-1.0	WB
63	10-27-51	42.14839243888855	31.056495920150457	-1.0	-1.0	-1.0	WB
64	10-27-51	42.187891244888306	25.382488925467793	-1.0	-1.0	-1.0	WB
