Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	9-43-24	0.03708791732788086	30.30763561214241	-1.0	-1.0	-1.0	WB
2	9-43-24	0.07299017906188965	27.49461815798099	-1.0	-1.0	-1.0	WB
3	9-43-24	0.10479140281677246	31.474827216173015	-1.0	-1.0	-1.0	WB
4	9-43-24	0.13710379600524902	31.036043302279808	-1.0	-1.0	-1.0	WB
5	9-43-24	0.17826604843139648	24.23640629153232	-1.0	-1.0	-1.0	WB
6	9-43-24	0.2038874626159668	39.040023828139546	-1.0	-1.0	-1.0	WB
7	9-43-24	0.23597407341003418	31.143432063381276	-1.0	-1.0	-1.0	WB
8	9-43-24	0.2733151912689209	26.931104005342167	-1.0	-1.0	-1.0	WB
9	9-43-24	0.30555033683776855	30.94262676040752	-1.0	-1.0	-1.0	WB
10	9-43-24	0.33638882637023926	32.29070304560712	-1.0	-1.0	-1.0	WB
11	9-43-24	0.37139415740966797	28.590639527750135	-1.0	-1.0	-1.0	WB
12	9-43-24	0.40255069732666016	31.946135742194937	-1.0	-1.0	-1.0	WB
13	9-43-25	0.4365580081939697	29.543801815889385	-1.0	-1.0	-1.0	WB
14	9-43-25	0.47261500358581543	27.723603675061142	-1.0	-1.0	-1.0	WB
15	9-43-25	0.5032145977020264	32.69724112662441	-1.0	-1.0	-1.0	WB
16	9-43-25	0.5434958934783936	24.734066141435108	-1.0	-1.0	-1.0	WB
17	9-43-25	0.5726883411407471	34.49036247615288	-1.0	-1.0	-1.0	WB
18	9-43-25	0.6087369918823242	27.859318645261137	-1.0	-1.0	-1.0	WB
19	9-43-25	0.655458927154541	21.607092629702706	-1.0	-1.0	-1.0	WB
20	9-43-25	0.6910183429718018	27.906399909513702	-1.0	-1.0	-1.0	WB
21	9-43-25	0.7088160514831543	54.92227110831762	-1.0	-1.0	-1.0	WB
22	9-43-25	0.7403700351715088	31.57957189215236	-1.0	-1.0	-1.0	WB
23	9-43-25	0.7745606899261475	29.365090700328356	-1.0	-1.0	-1.0	WB
24	9-43-25	0.8082714080810547	29.650106037042274	-1.0	-1.0	-1.0	WB
25	9-43-25	0.8385396003723145	33.07941164872432	-1.0	-1.0	-1.0	WB
26	9-43-25	0.8728818893432617	28.99622537158659	-1.0	-1.0	-1.0	WB
27	9-43-25	0.9060237407684326	30.251893311022314	-1.0	-1.0	-1.0	WB
28	9-43-25	0.9391999244689941	30.20005184182483	-1.0	-1.0	-1.0	WB
29	9-43-25	0.9730691909790039	29.479845653197636	-1.0	-1.0	-1.0	WB
30	9-43-25	1.0057895183563232	30.665496870796048	-1.0	-1.0	-1.0	WB
31	9-43-25	1.0436632633209229	26.41415706278733	-1.0	-1.0	-1.0	WB
32	9-43-25	1.0760064125061035	30.884526456857575	-1.0	-1.0	-1.0	WB
33	9-43-25	1.1071748733520508	31.894635184973957	-1.0	-1.0	-1.0	WB
34	9-43-25	1.142991542816162	28.11685682491587	-1.0	-1.0	-1.0	WB
35	9-43-25	1.1750597953796387	31.059025643683864	-1.0	-1.0	-1.0	WB
36	9-43-25	1.2056076526641846	32.786442373835285	-1.0	-1.0	-1.0	WB
37	9-43-25	1.246640920639038	24.389600572189497	-1.0	-1.0	-1.0	WB
38	9-43-25	1.2722630500793457	38.95662511842178	-1.0	-1.0	-1.0	WB
39	9-43-25	1.304922103881836	30.603295051585505	-1.0	-1.0	-1.0	WB
40	9-43-25	1.3404955863952637	28.065119204544693	-1.0	-1.0	-1.0	WB
41	9-43-25	1.3773000240325928	27.31360176086376	-1.0	-1.0	-1.0	WB
42	9-43-25	1.4051175117492676	35.7217415003066	-1.0	-1.0	-1.0	WB
43	9-43-26	1.4398634433746338	28.674884290119024	-1.0	-1.0	-1.0	WB
44	9-43-26	1.4748730659484863	28.673904126445898	-1.0	-1.0	-1.0	WB
45	9-43-26	1.5051772594451904	32.97305116191315	-1.0	-1.0	-1.0	WB
46	9-43-26	1.5378284454345703	30.72817717605515	-1.0	-1.0	-1.0	WB
47	9-43-26	1.571092128753662	29.989518014571818	-1.0	-1.0	-1.0	WB
48	9-43-26	1.604795217514038	29.664365734977935	-1.0	-1.0	-1.0	WB
49	9-43-26	1.639129877090454	29.03134798408029	-1.0	-1.0	-1.0	WB
50	9-43-26	1.6773555278778076	26.235224209216064	-1.0	-1.0	-1.0	WB
51	9-43-26	1.7059199810028076	35.00241177010573	-1.0	-1.0	-1.0	WB
52	9-43-26	1.740417242050171	28.983602026079204	-1.0	-1.0	-1.0	WB
53	9-43-26	1.7742533683776855	29.48129612708231	-1.0	-1.0	-1.0	WB
54	9-43-26	1.8045234680175781	33.18225977437066	-1.0	-1.0	-1.0	WB
55	9-43-26	1.8376622200012207	30.14145479109476	-1.0	-1.0	-1.0	WB
56	9-43-26	1.8759901523590088	26.105409913610675	-1.0	-1.0	-1.0	WB
57	9-43-26	1.9075300693511963	31.74472851671889	-1.0	-1.0	-1.0	WB
58	9-43-26	1.9379918575286865	32.76339264790889	-1.0	-1.0	-1.0	WB
59	9-43-26	1.9730868339538574	28.40899485234354	-1.0	-1.0	-1.0	WB
60	9-43-26	2.005139112472534	31.309888698949695	-1.0	-1.0	-1.0	WB
61	9-43-26	2.0376923084259033	30.722550211687494	-1.0	-1.0	-1.0	WB
62	9-43-26	2.072504758834839	28.70726732646161	-1.0	-1.0	-1.0	WB
63	9-43-26	2.104745388031006	30.90386896648271	-1.0	-1.0	-1.0	WB
64	9-43-26	2.138887405395508	29.41802266861183	-1.0	-1.0	-1.0	WB
65	9-43-26	2.1749675273895264	27.704741962970548	-1.0	-1.0	-1.0	WB
66	9-43-26	2.2049410343170166	33.35351045303094	-1.0	-1.0	-1.0	WB
67	9-43-26	2.2385165691375732	29.7918415762819	-1.0	-1.0	-1.0	WB
68	9-43-26	2.2752270698547363	27.241754673109646	-1.0	-1.0	-1.0	WB
69	9-43-26	2.3046765327453613	33.828851644540514	-1.0	-1.0	-1.0	WB
70	9-43-26	2.340888023376465	27.71737463984563	-1.0	-1.0	-1.0	WB
71	9-43-26	2.3727242946624756	31.40036683511136	-1.0	-1.0	-1.0	WB
72	9-43-26	2.4051754474639893	30.806492838780756	-1.0	-1.0	-1.0	WB
73	9-43-27	2.4399633407592773	28.65607684792337	-1.0	-1.0	-1.0	WB
74	9-43-27	2.474663019180298	28.880424154788955	-1.0	-1.0	-1.0	WB
75	9-43-27	2.505201816558838	32.76288079987502	-1.0	-1.0	-1.0	WB
76	9-43-27	2.5396952629089355	28.99843057543263	-1.0	-1.0	-1.0	WB
77	9-43-27	2.577901840209961	26.143811708387354	-1.0	-1.0	-1.0	WB
78	9-43-27	2.6145741939544678	27.626093371272	-1.0	-1.0	-1.0	WB
79	9-43-27	2.640137195587158	38.30694479962006	-1.0	-1.0	-1.0	WB
80	9-43-27	2.673261880874634	30.277006590582612	-1.0	-1.0	-1.0	WB
81	9-43-27	2.7071173191070557	29.550462529150256	-1.0	-1.0	-1.0	WB
82	9-43-27	2.7388360500335693	31.58480364471554	-1.0	-1.0	-1.0	WB
83	9-43-27	2.7756147384643555	27.196358519805734	-1.0	-1.0	-1.0	WB
84	9-43-27	2.809455156326294	29.93771636176758	-1.0	-1.0	-1.0	WB
85	9-43-27	2.838411569595337	33.80731068391569	-1.0	-1.0	-1.0	WB
86	9-43-27	2.8778412342071533	25.451645984404866	-1.0	-1.0	-1.0	WB
