Fotograma	Hora-Minuto-Segundo	Tiempo	fps	Exposición	Ganancia	Bitrate	WB
1	10-27-9	0.0401608943939209	27.73992235501088	-1.0	-1.0	-1.0	WB
2	10-27-9	0.07337713241577148	29.671290826901718	-1.0	-1.0	-1.0	WB
3	10-27-9	0.10515236854553223	31.50343252865448	-1.0	-1.0	-1.0	WB
4	10-27-9	0.14047646522521973	28.28294380234393	-1.0	-1.0	-1.0	WB
5	10-27-9	0.18132233619689941	24.773803336010964	-1.0	-1.0	-1.0	WB
6	10-27-9	0.20632266998291016	39.263318511584366	-1.0	-1.0	-1.0	WB
7	10-27-9	0.23922085762023926	30.425034637341593	-1.0	-1.0	-1.0	WB
8	10-27-9	0.27453112602233887	28.289811280031294	-1.0	-1.0	-1.0	WB
9	10-27-9	0.30687618255615234	30.940800684572768	-1.0	-1.0	-1.0	WB
10	10-27-9	0.33909034729003906	31.08987539749016	-1.0	-1.0	-1.0	WB
11	10-27-9	0.3753509521484375	27.68426124550345	-1.0	-1.0	-1.0	WB
12	10-27-9	0.4071531295776367	31.68190470435387	-1.0	-1.0	-1.0	WB
13	10-27-9	0.43979454040527344	30.22399008459798	-1.0	-1.0	-1.0	WB
14	10-27-9	0.47463154792785645	28.723191234377676	-1.0	-1.0	-1.0	WB
15	10-27-9	0.5071213245391846	31.024794366530564	-1.0	-1.0	-1.0	WB
16	10-27-9	0.5404396057128906	29.792899660467956	-1.0	-1.0	-1.0	WB
17	10-27-9	0.5748300552368164	29.072599986137103	-1.0	-1.0	-1.0	WB
18	10-27-9	0.6070406436920166	31.04224518191776	-1.0	-1.0	-1.0	WB
19	10-27-10	0.643815279006958	27.321608171135257	-1.0	-1.0	-1.0	WB
20	10-27-10	0.6742916107177734	32.75187993409494	-1.0	-1.0	-1.0	WB
21	10-27-10	0.7062740325927734	31.16217421022913	-1.0	-1.0	-1.0	WB
22	10-27-10	0.7398843765258789	29.660589774414824	-1.0	-1.0	-1.0	WB
23	10-27-10	0.7752697467803955	28.337785705116513	-1.0	-1.0	-1.0	WB
24	10-27-10	0.8086948394775391	29.90164682398232	-1.0	-1.0	-1.0	WB
25	10-27-10	0.839611291885376	32.34498820118142	-1.0	-1.0	-1.0	WB
26	10-27-10	0.8759496212005615	27.46167494909417	-1.0	-1.0	-1.0	WB
27	10-27-10	0.908440351486206	30.82573769889391	-1.0	-1.0	-1.0	WB
28	10-27-10	0.9395606517791748	32.465412212735984	-1.0	-1.0	-1.0	WB
29	10-27-10	0.9762341976165771	27.059502074153404	-1.0	-1.0	-1.0	WB
30	10-27-10	1.0065443515777588	33.05672987500197	-1.0	-1.0	-1.0	WB
31	10-27-10	1.0450663566589355	25.876230018939978	-1.0	-1.0	-1.0	WB
32	10-27-10	1.0793046951293945	29.209465576556124	-1.0	-1.0	-1.0	WB
33	10-27-10	1.1062607765197754	37.10525663936021	-1.0	-1.0	-1.0	WB
34	10-27-10	1.144911289215088	25.973656669742326	-1.0	-1.0	-1.0	WB
35	10-27-10	1.1796913146972656	28.801098674723615	-1.0	-1.0	-1.0	WB
36	10-27-10	1.2078444957733154	35.34843581445523	-1.0	-1.0	-1.0	WB
37	10-27-10	1.2400603294372559	30.889757922567625	-1.0	-1.0	-1.0	WB
38	10-27-10	1.276566743850708	27.518249037193527	-1.0	-1.0	-1.0	WB
39	10-27-10	1.3066413402557373	33.39759688502791	-1.0	-1.0	-1.0	WB
40	10-27-10	1.3448047637939453	26.144463559977062	-1.0	-1.0	-1.0	WB
41	10-27-10	1.3746628761291504	33.37474238698845	-1.0	-1.0	-1.0	WB
42	10-27-10	1.4072747230529785	30.562709493135912	-1.0	-1.0	-1.0	WB
43	10-27-10	1.4451265335083008	26.538501448945244	-1.0	-1.0	-1.0	WB
44	10-27-10	1.4764208793640137	31.902155559274078	-1.0	-1.0	-1.0	WB
45	10-27-10	1.506194829940796	33.600666517127564	-1.0	-1.0	-1.0	WB
46	10-27-10	1.5420591831207275	28.038665686208972	-1.0	-1.0	-1.0	WB
47	10-27-10	1.5733604431152344	31.768772817475345	-1.0	-1.0	-1.0	WB
48	10-27-10	1.6099388599395752	27.23591711634491	-1.0	-1.0	-1.0	WB
49	10-27-11	1.6414353847503662	31.88493671367213	-1.0	-1.0	-1.0	WB
50	10-27-11	1.677903652191162	27.58249158249158	-1.0	-1.0	-1.0	WB
51	10-27-11	1.7110285758972168	29.985658828828186	-1.0	-1.0	-1.0	WB
52	10-27-11	1.740473985671997	33.931753094409835	-1.0	-1.0	-1.0	WB
53	10-27-11	1.7756013870239258	28.548216716580452	-1.0	-1.0	-1.0	WB
54	10-27-11	1.8080503940582275	31.036272957333768	-1.0	-1.0	-1.0	WB
55	10-27-11	1.8405616283416748	30.769655131938993	-1.0	-1.0	-1.0	WB
56	10-27-11	1.8752562999725342	28.573499557190544	-1.0	-1.0	-1.0	WB
57	10-27-11	1.9079840183258057	30.918448734676428	-1.0	-1.0	-1.0	WB
58	10-27-11	1.9419631958007812	28.980598087446797	-1.0	-1.0	-1.0	WB
59	10-27-11	1.9748516082763672	30.672000117004394	-1.0	-1.0	-1.0	WB
60	10-27-11	2.0069358348846436	30.982397305302968	-1.0	-1.0	-1.0	WB
61	10-27-11	2.0423519611358643	28.503788676783397	-1.0	-1.0	-1.0	WB
62	10-27-11	2.0773324966430664	28.253984506567868	-1.0	-1.0	-1.0	WB
63	10-27-11	2.108661651611328	32.017343379058175	-1.0	-1.0	-1.0	WB
64	10-27-11	2.1429522037506104	29.221675700530884	-1.0	-1.0	-1.0	WB
65	10-27-11	2.1777279376983643	28.710214866076623	-1.0	-1.0	-1.0	WB
66	10-27-11	2.208651065826416	32.58825540378848	-1.0	-1.0	-1.0	WB
67	10-27-11	2.243278741836548	28.676648753606543	-1.0	-1.0	-1.0	WB
68	10-27-11	2.2746238708496094	31.79502262786449	-1.0	-1.0	-1.0	WB
69	10-27-11	2.3075661659240723	30.49670988053776	-1.0	-1.0	-1.0	WB
70	10-27-11	2.340839147567749	30.19939951183336	-1.0	-1.0	-1.0	WB
71	10-27-11	2.377441167831421	27.16958056680162	-1.0	-1.0	-1.0	WB
72	10-27-11	2.4084596633911133	32.27753280233945	-1.0	-1.0	-1.0	WB
73	10-27-11	2.440507411956787	31.06477654831208	-1.0	-1.0	-1.0	WB
74	10-27-11	2.475789785385132	28.495655305011855	-1.0	-1.0	-1.0	WB
75	10-27-11	2.5094847679138184	29.676539261607257	-1.0	-1.0	-1.0	WB
76	10-27-11	2.5431811809539795	29.642143351849494	-1.0	-1.0	-1.0	WB
77	10-27-11	2.5765841007232666	29.892483233912753	-1.0	-1.0	-1.0	WB
78	10-27-11	2.6100142002105713	29.89567919713752	-1.0	-1.0	-1.0	WB
79	10-27-12	2.644371747970581	29.145731995441533	-1.0	-1.0	-1.0	WB
80	10-27-12	2.679677963256836	28.29610939829588	-1.0	-1.0	-1.0	WB
81	10-27-12	2.7077841758728027	35.76651971109159	-1.0	-1.0	-1.0	WB
82	10-27-12	2.7411813735961914	29.829131433529383	-1.0	-1.0	-1.0	WB
83	10-27-12	2.7782399654388428	26.984469292432802	-1.0	-1.0	-1.0	WB
